ID	European %	East Asian %	Native American %	African %	South Asian %	Oceanian %	West Asian %	EUR %
S1	0.141505	0.102473	0.454908	0.171713	0.0164	0.015209	0.097791	0.239296
S2	0.511	0.001156	0.00001	0.431746	0.009851	0.000304	0.045933	0.556933
S3	0.537303	0.00001	0.00001	0.00001	0.011622	0.000742	0.450303	0.987606
S4	0.358871	0.008665	0.310959	0.066621	0.008642	0.00001	0.246232	0.605103
S6	0.00001	0.739557	0.000011	0.00001	0.00001	0.260392	0.00001	0.00002
S7	0.00001	0.999924	0.00002	0.00001	0.00001	0.000016	0.00001	0.00002
S8	0.762084	0.00001	0.079664	0.010094	0.018731	0.00001	0.129406	0.89149
S9	0.64019	0.000011	0.00001	0.00001	0.005144	0.003609	0.351025	0.991215
S11	0.85985	0.00001	0.000011	0.00001	0.021967	0.00001	0.118142	0.977992
S12	0.574524	0.00001	0.041626	0.099103	0.00001	0.00001	0.284717	0.859241
S13	0.935335	0.00001	0.00001	0.00001	0.00001	0.00001	0.064615	0.99995
S14	0.037777	0.000011	0.00001	0.002379	0.947296	0.006413	0.006114	0.043891
S15	0.00001	0.995817	0.00001	0.00001	0.00001	0.004133	0.00001	0.00002
S16	0.306147	0.000021	0.417064	0.049186	0.00001	0.004246	0.223326	0.529473
S17	0.870043	0.00001	0.00001	0.003314	0.010433	0.00016	0.11603	0.986073
S18	0.113	0.00001	0.00001	0.870126	0.015921	0.000611	0.000322	0.113322
S19	0.00001	0.944811	0.00001	0.000225	0.018723	0.031784	0.004438	0.004448
S20	0.383107	0.033667	0.005115	0.00001	0.106836	0.00001	0.471255	0.854362
S21	0.298091	0.008624	0.374165	0.076706	0.004472	0.003781	0.234161	0.532252
S22	0.00001	0.999929	0.00001	0.000014	0.000017	0.00001	0.00001	0.00002
S23	0.477695	0.015281	0.00001	0.011451	0.064915	0.002646	0.428002	0.905697
S24	0.884755	0.00001	0.00001	0.00001	0.00001	0.00001	0.115195	0.99995
S25	0.16176	0.015366	0.000018	0.00001	0.802919	0.004965	0.014962	0.176722
S26	0.345206	0.005472	0.00001	0.01121	0.049429	0.001915	0.586758	0.931964
S27	0.00001	0.997429	0.00001	0.00001	0.00001	0.002521	0.00001	0.00002
S28	0.383367	0.00001	0.00001	0.008507	0.045398	0.00001	0.562698	0.946065
S29	0.440373	0.446706	0.00001	0.003061	0.041966	0.04576	0.022125	0.462498
S30	0.00001	0.965776	0.00001	0.005818	0.00001	0.028366	0.00001	0.00002
S31	0.873738	0.00001	0.00001	0.003698	0.02072	0.00001	0.101814	0.975552
S32	0.918838	0.00001	0.00001	0.001776	0.004157	0.00001	0.075199	0.994037
S33	0.273937	0.024014	0.39841	0.071915	0.007079	0.008846	0.2158	0.489737
